source	Collecting_Institution	Collection_Date	Receipt_Date	Location	Country	State_Province	Latitude	Longitude	Host_Species	Host_Common_Name	Host_Identifier	Capture_Status	Health	Age	Behavior	Sample_Identifier	Sample_Material	Influenza_Test_Type	Influenza_Test_Result	Other_pathogens_tested_for (other than influenza)	Other_pathogen_test_result (other than influenza)	Habitat	Sex	Host_ID_Type	Sample_Transport_Medium	Strain_Name	Other_Host_and_Sample_Data									
2013_2_00040	CIP047	13-9-2011	18-1-2013	Tblisi River	Republic of Georgia	Kvemo Kartli	41.7111	44.7896	Larus armenicus	Armenian Gull	7-9851	A	H	U	W	7-9851	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00041	CIP047	13-9-2011	18-1-2013	Tblisi River	Republic of Georgia	Kvemo Kartli	41.7111	44.7896	Larus armenicus	Armenian Gull	7-9854	A	H	U	W	7-9854	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00042	CIP047	21-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11082	A	H	U	W	217-11082	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00043	CIP047	21-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11084	A	H	U	W	217-11084	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00044	CIP047	21-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11087	A	H	U	W	217-11087	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00045	CIP047	21-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11088	A	H	U	W	217-11088	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00046	CIP047	21-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11091	A	H	U	W	217-11091	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00047	CIP047	21-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11093	A	H	U	W	217-11093	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00048	CIP047	21-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11099	A	H	U	W	217-11099	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00049	CIP047	21-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11102	A	H	U	W	217-11102	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00050	CIP047	21-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11103	A	H	U	W	217-11103	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00051	CIP047	21-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11106	A	H	U	W	217-11106	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00052	CIP047	21-11-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11107	A	H	U	W	217-11107	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
