217-2020	tracheal/op swab	tracheal swab
217-2023	cloacal swab	tracheal swab
217-2025	tracheal/op swab	cloacal swab
217-2026	cloacal swab	tracheal swab
217-2068	tracheal/op swab	tracheal swab
217-2070	tracheal/op swab	tracheal swab
217-2072	tracheal/op swab	tracheal swab
217-2074	tracheal/op swab	tracheal swab
217-2076	tracheal/op swab	tracheal swab
217-2078	tracheal/op swab	tracheal swab
217-2080	tracheal/op swab	tracheal swab
217-2082	tracheal/op swab	tracheal swab
217-2084	tracheal/op swab	tracheal swab
217-2086	tracheal/op swab	tracheal swab
217-2088	tracheal/op swab	tracheal swab
217-2092	tracheal/op swab	tracheal swab
217-2094	tracheal/op swab	tracheal swab
217-2096	tracheal/op swab	tracheal swab
217-2098	tracheal/op swab	tracheal swab
217-2100	tracheal/op swab	tracheal swab
217-2102	tracheal/op swab	tracheal swab
217-2104	tracheal/op swab	tracheal swab
217-2106	tracheal/op swab	tracheal swab
217-2108	tracheal/op swab	tracheal swab
217-2110	tracheal/op swab	tracheal swab
217-2112	tracheal/op swab	tracheal swab
217-2114	tracheal/op swab	tracheal swab
217-2116	tracheal/op swab	tracheal swab
217-2118	tracheal/op swab	tracheal swab
217-2120	tracheal/op swab	tracheal swab
217-2122	tracheal/op swab	tracheal swab
217-2124	tracheal/op swab	tracheal swab
217-2126	tracheal/op swab	tracheal swab
217-2128	tracheal/op swab	tracheal swab
217-2130	tracheal/op swab	tracheal swab
217-2132	tracheal/op swab	tracheal swab
217-2134	tracheal/op swab	tracheal swab
217-2136	tracheal/op swab	tracheal swab
217-2138	tracheal/op swab	tracheal swab
217-2140	tracheal/op swab	tracheal swab
217-2142	tracheal/op swab	tracheal swab
217-2144	tracheal/op swab	tracheal swab
217-2146	tracheal/op swab	tracheal swab
217-2231	tracheal/op swab	tracheal swab
217-2233	tracheal/op swab	tracheal swab
217-2235	tracheal/op swab	tracheal swab
217-2237	tracheal/op swab	tracheal swab
217-2239	tracheal/op swab	tracheal swab
